Price,Close,High,Low,Open,Volume
Ticker,SPY,SPY,SPY,SPY,SPY
Datetime,,,,,
2025-08-19 13:30:00+00:00,642.1599731445312,643.030029296875,642.1300048828125,642.989990234375,2377824
2025-08-19 13:35:00+00:00,642.6099853515625,642.7550048828125,642.030029296875,642.1500244140625,1117347
2025-08-19 13:40:00+00:00,642.8300170898438,643.4299926757812,642.530029296875,642.6199951171875,1365240
2025-08-19 13:45:00+00:00,642.5499877929688,642.8599853515625,642.3200073242188,642.8400268554688,1121168
2025-08-19 13:50:00+00:00,643.0800170898438,643.18798828125,642.3800048828125,642.5399780273438,947262
2025-08-19 13:55:00+00:00,642.8699951171875,643.2100219726562,642.8200073242188,643.0850219726562,616835
2025-08-19 14:00:00+00:00,644.0999755859375,644.10498046875,642.8599853515625,642.8599853515625,1133950
2025-08-19 14:05:00+00:00,644.010009765625,644.0999755859375,643.7100219726562,644.0900268554688,841481
2025-08-19 14:10:00+00:00,643.77001953125,644.0999755859375,643.6699829101562,644.010009765625,681003
2025-08-19 14:15:00+00:00,643.780029296875,643.9000244140625,643.5,643.77001953125,631340
2025-08-19 14:20:00+00:00,643.8150024414062,643.92919921875,643.6400146484375,643.7899780273438,479131
2025-08-19 14:25:00+00:00,643.030029296875,643.8800048828125,642.8200073242188,643.7999877929688,1166270
2025-08-19 14:30:00+00:00,643.3599853515625,643.5399780273438,642.7849731445312,643.0399780273438,962999
2025-08-19 14:35:00+00:00,642.6995239257812,643.3900146484375,642.6199951171875,643.3699951171875,844111
2025-08-19 14:40:00+00:00,642.280029296875,642.8800048828125,641.909912109375,642.7000122070312,1179732
2025-08-19 14:45:00+00:00,641.89501953125,642.2899780273438,641.6500244140625,642.2899780273438,1356501
2025-08-19 14:50:00+00:00,642.1400146484375,642.1699829101562,641.72998046875,641.9199829101562,1006194
2025-08-19 14:55:00+00:00,641.2150268554688,642.2999877929688,641.2100219726562,642.139892578125,1005161
2025-08-19 15:00:00+00:00,641.3200073242188,641.3900146484375,640.469970703125,641.219970703125,1624498
2025-08-19 15:05:00+00:00,641.3099975585938,641.47998046875,641.2100219726562,641.3200073242188,836225
2025-08-19 15:10:00+00:00,641.4299926757812,641.5101928710938,640.8800048828125,641.3150024414062,682235
